"application_date","snapshot_date","country","base_ccy","referrer","entity","server","house_name","org","application_type","kyc_status","screening_status","batch_result","received_docs","num_inbound_emails","num_inbound_calls","num_outbound_emails","num_outbound_calls","is_converted"
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E8","Other","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-13","2020-09-13","South Africa","GBP","referrer2","Entity4","P","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-13","2020-09-13","Pakistan","USD","unknown","Entity2","E3","cat3","1","Individual","Missing ID and POR","Batch - Processed","PASS",,,,,,False
"2020-09-16","2020-09-16","Nigeria","USD",,"Entity4","J10","cat1","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-09-16","2020-09-16","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","France","EUR","referrer4","Entity3","N","cat7","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-29","2020-09-29","","AUD",,,,,"1",,,,,,,,,,False
"2020-09-13","2020-09-13","Philippines","USD","referrer14","Entity2","J10","cat2","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-13","2020-09-13","China","USD","unknown","Entity2","E3","cat9","1",,,,,,,,,,False
"2020-09-16","2020-09-16","France","EUR","referrer4","Entity3","N2","cat13","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","CAD",,,,,"2",,,,,,,,,,False
"2020-09-16","2020-09-16","Venezuela","USD","referrer18","Entity2","J10","cat4","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-08-12","2020-08-12","","USD",,,,,"1",,,,,,,,,,False
"2020-09-02","2020-09-02","Italy","EUR","referrer16","Entity3","G","cat21","1","Joint",,"Ops Reviewed","match",True,,,,,False
"2020-08-19","2020-08-19","","HKD",,,,,,,,,,,,,,,False
"2020-08-19","2020-08-19","","USD",,,,,"1",,,,,,,,,,False
"2020-08-18","2020-08-19","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Complete","Batch - Processed","PASS",,,,2,,False
"2020-08-18","2020-08-19","Venezuela","USD",,"Entity2","J10","cat4","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-18","2020-08-19","Spain","EUR","referrer3","Entity3","G","cat15","1","Individual",,"Completed","PASS",True,,,2,1,False
"2020-08-18","2020-08-19","China","USD","unknown","Entity2","E3","cat19","1","Individual",,"Batch - Processed","PASS",,,,1,,True
"2020-09-02","2020-09-02","Canada","CAD","referrer10",,"U2","cat17","2","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-30","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,1,,True
"2020-08-30","2020-09-02","France","EUR","referrer4","Entity3","N","cat7","1","Individual",,"Ops Reviewed","match",True,,,4,,False
"2020-09-02","2020-09-02","France","EUR","referrer4","Entity3","N2","cat13","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-08-31","2020-09-02","Brazil","USD","referrer6","Entity2","J10","cat3","1","Individual",,"Rejected","PASS",True,,,3,,False
"2020-09-13","2020-09-13","Burkina Faso","USD","referrer4","Entity3","E2","cat7","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-09-29","2020-09-29","China","USD","unknown","Entity2","J10","cat9","1","Individual","Missing ID","Pending Review",,,,,,,False
"2020-08-12","2020-08-13","Cameroon","USD","unknown","Entity2","E8","cat3","1",,,,,,,,1,1,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Ops Reviewed","match",True,,,,,True
"2020-09-13","2020-09-13","Italy","EUR","referrer16","Entity3","G","cat21","1","Individual",,"Ops Reviewed","PASS",,,,,,False
"2020-09-13","2020-09-13","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Missing POR","Batch - Reviewed","match",True,,,,,False
"2020-09-13","2020-09-13","Germany","EUR",,"Entity3","G","cat18","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-01","2020-09-02","Indonesia","USD","referrer13","Entity2","E3","cat2","1","Individual",,"Ops Reviewed","PASS",True,,,3,1,True
"2020-09-13","2020-09-13","Italy","EUR",,"Entity3","G","cat21","1","Individual",,"Ops Reviewed","PASS",,,,,,False
"2020-09-13","2020-09-13","France","EUR","referrer4","Entity3","G","cat7","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Ops Reviewed","match",True,,,,,False
"2020-09-02","2020-09-02","France","EUR","referrer4","Entity3","N2","cat13","1","Individual",,"Batch - Reviewed","match",True,,,,,True
"2020-09-14","2020-09-15","Malaysia","USD","referrer8","Entity2","E8","cat2","1",,,,,,,,8,3,True
"2020-09-15","2020-09-15","Indonesia","USD","referrer11","Entity2","J10","cat2","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Mozambique","USD","referrer2","Entity4","J10","cat1","1","Trust",,"Rejected",,,,,,,False
"2020-09-02","2020-09-02","Mexico","USD","referrer11","Entity2","J10","cat4","1","Individual",,"Ops Reviewed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Nigeria","USD","referrer2","Entity4","E2","cat1","1","Joint",,"Batch - Processed","PASS",,,,,,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E8","Other","1",,,,,,,,4,,False
"2020-09-15","2020-09-15","Pakistan","USD",,"Entity3","J5","cat26","1","Individual",,"Batch - Reviewed","match",,,,,,False
"2020-09-13","2020-09-13","Czech Republic","EUR","referrer19","Entity3","G","cat14","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-15","2020-09-15","China","USD","unknown","Entity2","E3","Other","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-15","2020-09-15","Algeria","USD","unknown","Entity2","E3","cat3","1","Individual","Missing POR","Pending Review",,True,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-16","2020-09-16","","USD",,,,,"1",,,,,,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Complete","Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Missing POR","Ops Reviewed","PASS",True,,,,,False
"2020-09-13","2020-09-13","France","EUR","referrer4","Entity3","G","Other","1","Individual",,"Ops Reviewed","match",True,,,,,False
"2020-09-13","2020-09-13","France","EUR",,"Entity3","G","Other","1","Individual",,"Ops Reviewed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Chile","USD","referrer3","Entity2","J10","cat4","1","Individual",,"Completed","PASS",True,,,,,True
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Completed","PASS",True,,,,,False
"2020-08-18","2020-08-19","United Arab Emirates","USD","referrer9","Entity2","E3","cat3","1","Individual",,"Completed","PASS",True,,1,3,3,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Complete","Completed","PASS",True,,,,,True
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Complete","Completed","PASS",True,,,,,False
"2020-08-18","2020-08-19","Spain","EUR","referrer3","Entity3","G","cat15","1","Individual",,"Ops Reviewed","match",,,,2,1,False
"2020-08-18","2020-08-19","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Completed","PASS",True,,,5,1,True
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Ops Reviewed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Indonesia","USD","unknown","Entity2","E3","cat37","1","Individual",,"Completed","PASS",True,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat28","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-18","2020-08-19","Mexico","USD",,"Entity2","J10","cat4","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-18","2020-08-19","Greece","EUR","referrer18","Entity3","G","cat39","1","Individual",,"Ops Reviewed","match",,1,1,3,1,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat28","1","Individual",,"Batch - Processed","PASS",,,,,,True
"2020-09-02","2020-09-02","Argentina","USD","referrer3","Entity2","J10","cat4","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","J10","cat9","1","Individual","Complete","Ops Reviewed","match",,,,,,False
"2020-09-02","2020-09-02","Canada","USD","referrer19",,"BR10","Other","2","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-18","2020-08-19","Brazil","USD","referrer6","Entity2","E3","cat3","1","Individual",,"Completed","PASS",True,,,1,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Ops Reviewed","match",,,,,,False
"2020-09-02","2020-09-02","Ecuador","USD","referrer3","Entity2","J10","cat4","1","Individual",,"Completed","PASS",True,,,,,True
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","J10","cat9","1","Individual","Complete","Pending Review",,,,,,,True
"2020-08-18","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,3,1,False
"2020-09-02","2020-09-02","China","USD",,"Entity2","E8","cat12","1","Individual",,"Ops Reviewed","match",,,,,,True
"2020-09-02","2020-09-02","China","USD",,"Entity2","E8","Other","1","Individual",,"Batch - Reviewed","match",,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Complete","Completed","PASS",True,,,,,True
"2020-08-18","2020-08-19","Kosovo","USD","unknown","Entity2","J10","cat3","1","Joint",,"Ops Reviewed","match",,,,1,2,False
"2020-09-13","2020-09-13","Spain","EUR","referrer3","Entity3","G","cat15","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-08-12","2020-08-12","Brazil","USD","referrer6","Entity2","J10","cat3","1","Individual",,"Pending Review",,,,,,,False
"2020-08-18","2020-08-19","Netherlands","EUR","referrer5","Entity3","R01","cat10","1","Individual",,"Rejected","PASS",,,,,1,False
"2020-09-02","2020-09-02","Indonesia","USD","referrer13","Entity2","E3","cat2","1","Individual",,"Completed","PASS",True,,,,,False
